Credit_rating,Age,Income,Credit_cards,Education,Car_loans
"Bad",36.220,"Medium","5 or more","College","More than 2"
"Bad",21.990,"Medium","5 or more","College","More than 2"
"Bad",29.170,"Low","5 or more","High school","More than 2"
"Bad",32.753,"Low","5 or more","College","None or 1"
"Bad",36.771,"Medium","5 or more","College","More than 2"
"Bad",39.325,"Medium","5 or more","College","More than 2"
"Bad",31.699,"Medium","5 or more","College","More than 2"
"Bad",34.718,"Low","5 or more","High school","More than 2"
"Bad",31.531,"Low","5 or more","High school","More than 2"
"Bad",24.780,"Medium","5 or more","College","More than 2"
"Bad",22.763,"Low","5 or more","College","More than 2"
"Bad",45.966,"Low","5 or more","High school","More than 2"
"Bad",29.386,"Medium","5 or more","High school","More than 2"
"Bad",29.215,"Low","5 or more","College","None or 1"
"Bad",39.603,"Low","5 or more","High school","More than 2"
"Bad",39.456,"Low","5 or more","College","More than 2"
"Bad",34.127,"Low","5 or more","College","More than 2"
"Bad",35.818,"Medium","5 or more","College","More than 2"
"Bad",35.966,"Medium","5 or more","College","More than 2"
"Bad",26.263,"High","5 or more","College","More than 2"
"Bad",21.519,"Low","5 or more","College","More than 2"
"Bad",29.232,"Medium","5 or more","High school","More than 2"
"Bad",22.944,"Low","5 or more","College","More than 2"
"Bad",43.415,"Medium","5 or more","College","More than 2"
"Bad",20.161,"Medium","5 or more","High school","More than 2"
"Bad",27.984,"Medium","5 or more","High school","More than 2"
"Bad",29.490,"Medium","5 or more","College","More than 2"
"Bad",30.116,"Medium","5 or more","High school","More than 2"
"Bad",25.431,"Medium","5 or more","College","More than 2"
"Bad",40.185,"Low","5 or more","College","None or 1"
"Bad",20.521,"Low","5 or more","College","More than 2"
"Bad",22.758,"Low","5 or more","High school","More than 2"
"Bad",32.896,"Medium","5 or more","High school","More than 2"
"Bad",33.212,"Medium","5 or more","High school","More than 2"
"Bad",27.981,"High","5 or more","High school","None or 1"
"Bad",20.993,"Medium","5 or more","College","More than 2"
"Bad",28.609,"Medium","5 or more","College","More than 2"
"Bad",20.789,"Medium","5 or more","High school","More than 2"
"Bad",20.706,"Medium","5 or more","High school","None or 1"
"Bad",24.483,"Low","5 or more","High school","More than 2"
"Bad",47.157,"Medium","5 or more","College","More than 2"
"Bad",24.677,"Medium","5 or more","High school","More than 2"
"Bad",30.813,"High","5 or more","High school","More than 2"
"Bad",20.888,"Low","5 or more","High school","More than 2"
"Bad",21.050,"Medium","5 or more","College","More than 2"
"Bad",32.432,"Medium","5 or more","High school","More than 2"
"Bad",31.351,"Medium","5 or more","High school","More than 2"
"Bad",22.926,"Medium","5 or more","College","More than 2"
"Bad",35.146,"Medium","5 or more","High school","More than 2"
"Bad",24.686,"Medium","Less than 5","College","None or 1"
"Bad",37.326,"Low","5 or more","High school","More than 2"
"Bad",30.700,"Medium","5 or more","High school","More than 2"
"Bad",32.919,"Low","5 or more","High school","More than 2"
"Bad",23.854,"Low","5 or more","College","More than 2"
"Bad",46.767,"Low","5 or more","High school","More than 2"
"Bad",27.910,"Medium","5 or more","High school","More than 2"
"Bad",46.441,"Medium","5 or more","College","None or 1"
"Bad",20.660,"Low","5 or more","High school","More than 2"
"Bad",20.964,"Low","5 or more","College","None or 1"
"Bad",24.454,"Medium","5 or more","High school","More than 2"
"Bad",27.062,"Low","5 or more","High school","More than 2"
"Bad",38.059,"Low","5 or more","College","More than 2"
"Bad",22.992,"Medium","5 or more","College","More than 2"
"Bad",22.370,"Low","5 or more","College","More than 2"
"Bad",26.205,"Low","5 or more","High school","More than 2"
"Bad",36.448,"Medium","5 or more","High school","More than 2"
"Bad",22.721,"Medium","5 or more","College","More than 2"
"Bad",33.281,"Low","5 or more","College","More than 2"
"Bad",28.146,"Medium","5 or more","High school","More than 2"
"Bad",44.131,"Medium","5 or more","High school","None or 1"
"Bad",24.888,"Low","5 or more","College","More than 2"
"Bad",21.872,"Medium","5 or more","High school","More than 2"
"Bad",28.230,"Low","5 or more","High school","None or 1"
"Bad",36.981,"Medium","5 or more","College","More than 2"
"Bad",24.157,"Low","5 or more","College","More than 2"
"Bad",35.668,"Medium","5 or more","College","More than 2"
"Bad",24.974,"Low","5 or more","College","More than 2"
"Bad",30.569,"Medium","5 or more","High school","More than 2"
"Bad",20.375,"Low","5 or more","College","More than 2"
"Bad",32.669,"Medium","5 or more","College","More than 2"
"Bad",20.573,"Low","5 or more","High school","More than 2"
"Bad",26.659,"Low","Less than 5","High school","None or 1"
"Bad",30.804,"Low","5 or more","College","More than 2"
"Bad",29.843,"Medium","5 or more","College","More than 2"
"Bad",50.826,"Low","5 or more","High school","More than 2"
"Bad",29.255,"Low","5 or more","College","More than 2"
"Bad",35.218,"Medium","5 or more","College","More than 2"
"Bad",35.818,"Low","5 or more","College","None or 1"
"Bad",24.438,"Medium","5 or more","High school","More than 2"
"Bad",23.397,"Medium","5 or more","High school","More than 2"
"Bad",38.677,"Medium","5 or more","High school","More than 2"
"Bad",21.861,"Medium","5 or more","College","More than 2"
"Bad",24.043,"Low","5 or more","High school","More than 2"
"Bad",25.718,"Medium","5 or more","College","More than 2"
"Bad",26.807,"Medium","5 or more","College","More than 2"
"Bad",36.620,"Medium","5 or more","High school","More than 2"
"Bad",29.050,"Low","5 or more","College","More than 2"
"Bad",30.772,"Low","5 or more","High school","More than 2"
"Bad",22.174,"Low","5 or more","High school","More than 2"
"Bad",42.928,"Low","5 or more","College","More than 2"
"Bad",26.791,"Medium","Less than 5","High school","None or 1"
"Bad",24.240,"Low","5 or more","College","More than 2"
"Bad",25.815,"Low","5 or more","College","More than 2"
"Bad",20.745,"Medium","5 or more","High school","More than 2"
"Bad",40.875,"Medium","5 or more","High school","More than 2"
"Bad",52.954,"Low","5 or more","College","More than 2"
"Bad",25.348,"Medium","5 or more","College","More than 2"
"Bad",28.122,"Low","5 or more","College","More than 2"
"Bad",29.505,"Low","5 or more","High school","More than 2"
"Bad",35.896,"Low","5 or more","College","More than 2"
"Bad",20.140,"Medium","5 or more","High school","More than 2"
"Bad",23.227,"Low","5 or more","College","More than 2"
"Bad",44.821,"Low","5 or more","High school","More than 2"
"Bad",43.573,"Medium","5 or more","College","More than 2"
"Bad",20.158,"Medium","Less than 5","College","None or 1"
"Bad",27.440,"Low","5 or more","College","More than 2"
"Bad",24.034,"Low","5 or more","High school","More than 2"
"Bad",37.079,"Medium","5 or more","High school","More than 2"
"Bad",25.786,"High","5 or more","College","None or 1"
"Bad",24.799,"Low","5 or more","College","More than 2"
"Bad",31.745,"Low","5 or more","High school","More than 2"
"Bad",38.720,"Medium","5 or more","College","None or 1"
"Bad",24.120,"Medium","5 or more","College","More than 2"
"Bad",31.796,"Low","5 or more","High school","More than 2"
"Bad",43.032,"Low","5 or more","College","More than 2"
"Bad",22.099,"Medium","5 or more","College","More than 2"
"Bad",26.798,"High","5 or more","College","More than 2"
"Bad",39.980,"High","5 or more","College","More than 2"
"Bad",31.475,"Medium","Less than 5","High school","None or 1"
"Bad",23.641,"Low","5 or more","High school","More than 2"
"Bad",33.181,"Low","5 or more","High school","More than 2"
"Bad",40.000,"Low","5 or more","High school","More than 2"
"Bad",23.446,"High","5 or more","High school","More than 2"
"Bad",29.844,"Low","Less than 5","High school","None or 1"
"Bad",29.324,"Low","Less than 5","High school","None or 1"
"Bad",22.509,"Low","5 or more","High school","More than 2"
"Bad",31.428,"Low","Less than 5","High school","None or 1"
"Bad",32.962,"Low","5 or more","High school","None or 1"
"Bad",37.231,"Medium","5 or more","College","More than 2"
"Bad",39.489,"Low","5 or more","College","More than 2"
"Bad",21.985,"Low","5 or more","High school","More than 2"
"Bad",31.010,"Low","5 or more","High school","More than 2"
"Bad",40.399,"Low","5 or more","High school","More than 2"
"Bad",28.529,"Low","5 or more","High school","More than 2"
"Bad",21.925,"Medium","5 or more","College","More than 2"
"Bad",25.522,"Low","5 or more","High school","More than 2"
"Bad",20.722,"Low","5 or more","College","More than 2"
"Bad",43.569,"Low","5 or more","High school","None or 1"
"Bad",33.090,"Low","5 or more","High school","More than 2"
"Bad",27.853,"Medium","5 or more","High school","More than 2"
"Bad",28.740,"Low","5 or more","College","More than 2"
"Bad",44.615,"Low","5 or more","College","None or 1"
"Bad",22.316,"High","5 or more","College","More than 2"
"Bad",32.726,"Medium","5 or more","College","More than 2"
"Bad",32.197,"Low","5 or more","College","More than 2"
"Bad",22.218,"Medium","Less than 5","College","None or 1"
"Bad",30.260,"Medium","5 or more","High school","More than 2"
"Bad",54.675,"Medium","5 or more","High school","More than 2"
"Bad",29.514,"Medium","Less than 5","High school","None or 1"
"Bad",20.142,"Low","5 or more","College","More than 2"
"Bad",29.248,"Low","5 or more","College","More than 2"
"Bad",38.142,"Low","5 or more","High school","More than 2"
"Bad",28.764,"Low","5 or more","College","More than 2"
"Bad",36.450,"Low","5 or more","High school","None or 1"
"Bad",20.636,"Medium","5 or more","High school","None or 1"
"Bad",24.544,"Medium","5 or more","High school","More than 2"
"Bad",31.386,"Low","5 or more","College","More than 2"
"Bad",39.798,"Low","5 or more","College","More than 2"
"Bad",28.564,"Medium","5 or more","College","More than 2"
"Bad",22.612,"Low","5 or more","College","More than 2"
"Bad",33.174,"Low","5 or more","College","More than 2"
"Bad",43.371,"Low","5 or more","College","None or 1"
"Bad",34.360,"Medium","5 or more","High school","None or 1"
"Bad",40.674,"Medium","Less than 5","College","None or 1"
"Bad",33.742,"High","5 or more","High school","None or 1"
"Bad",25.234,"Medium","5 or more","High school","More than 2"
"Bad",26.090,"Low","5 or more","College","More than 2"
"Bad",31.628,"Low","5 or more","College","More than 2"
"Bad",41.670,"Medium","5 or more","College","More than 2"
"Bad",23.075,"Medium","5 or more","High school","None or 1"
"Bad",24.860,"Low","5 or more","College","More than 2"
"Bad",23.628,"Medium","5 or more","High school","More than 2"
"Bad",25.963,"Medium","5 or more","High school","More than 2"
"Bad",44.005,"Medium","Less than 5","College","None or 1"
"Bad",21.957,"Low","5 or more","High school","More than 2"
"Bad",37.583,"Medium","5 or more","College","More than 2"
