CUSTID,性別,地区,アクセサリ合計金額,インナーウエア合計金額,バッグ合計金額,化粧品合計金額,衣服合計金額,靴合計金額,食品合計金額,合計金額
100001,"F","西区",8278,7715,7243,26885,6026,26870,15707,98724
100004,"M","北区",0,47262,10342,35251,19631,45890,11700,170076
100005,"M","西区",10500,0,0,0,0,0,108460,118960
100006,"M","東区",0,26210,14400,33000,11460,0,0,85070
100008,"F","東区",1017,21755,2800,13441,2950,11123,1194,54280
100012,"M","東区",30638,48548,60782,37073,47206,8524,66244,299015
100016,"M","北区",0,0,0,88430,14000,0,0,102430
100017,"M","北区",0,0,6451,1298,0,1726,15155,24630
100019,"F","北区",2375,2586,0,50724,4427,1710,0,61822
100020,"M","東区",0,4560,15281,15621,0,0,0,35462
100021,"F","北区",0,10895,3020,2907,15351,1107,4420,37700
100022,"M","北区",0,63930,0,209743,8550,2820,0,285043
100023,"F","西区",0,9008,13600,10080,0,9639,0,42327
100026,"M","西区",0,0,5200,6380,0,63162,0,74742
100027,"M","東区",0,5910,9245,9400,13100,0,12584,50239
100028,"F","西区",0,0,8644,0,0,9491,0,18135
100029,"F","東区",0,11216,9880,9820,0,30260,6779,67955
100030,"F","北区",0,1430,2000,13006,28706,15760,3480,64382
100036,"M","東区",23308,0,0,0,0,13680,0,36988
100037,"F","西区",5523,21200,6230,4676,12140,35833,17000,102602
100038,"M","西区",20000,13656,5714,76467,224795,11480,17642,369754
100039,"F","西区",26790,0,0,0,1980,6250,0,35020
100040,"F","北区",89267,125158,0,60793,30915,17498,17590,341221
100042,"F","東区",3232,20043,6754,48061,115192,2480,4625,200387
100043,"M",,0,3588,0,6600,38000,2537,0,50725
100045,"M","東区",21360,19419,50912,46233,33873,62260,37836,271893
100046,"F","東区",40998,9800,6230,4340,8310,1530,1700,72908
100048,"F","東区",1260,11144,6793,16505,271135,64172,8700,379709
100049,"M","西区",40082,3534,0,36423,1292,19598,41186,142115
100051,"F","東区",1960,20540,1800,22600,0,17350,0,64250
100054,"M","西区",136000,123780,91260,16154,47195,1440,15800,431629
100055,"M","東区",62042,292736,143390,156582,148026,14750,70014,887540
100057,"F","北区",42000,69428,0,0,0,0,0,111428
100058,"F","東区",11162,40358,3040,9800,18886,6780,21428,111454
100064,"M","西区",1488,26701,5806,61932,66242,46768,22340,231277
100065,"M","東区",0,7450,0,146073,73381,6380,2145,235429
100067,"M","東区",0,80408,12965,5000,32210,87485,71235,289303
100070,"M","西区",0,0,0,0,8657,19750,28000,56407
100071,"M","北区",0,25560,0,0,7960,0,67250,100770
100074,"F","東区",13534,93712,18595,115327,138106,5957,4946,390177
100075,"M","東区",0,19300,0,23052,16759,3280,3000,65391
100076,"M","東区",15610,3210,54932,9159,3880,4880,24691,116362
100077,"F","北区",18268,4375,0,23520,37516,2682,17578,103939
100078,"M","北区",9220,8970,0,62040,17660,16575,0,114465
100081,"M","西区",0,7078,0,11740,61993,3105,0,83916
100082,"F","北区",0,42620,25260,13400,14940,4400,0,100620
100094,"M","西区",1715,5835,7702,3889,1067,4634,0,24842
100095,"F","西区",1355,13653,7850,45495,180008,53960,2940,305261
100098,"F","東区",10200,0,0,27944,6460,5940,13630,64174
100100,"F","東区",0,0,0,41055,3980,46885,11120,103040
100101,"F","北区",65932,11558,20976,35850,144216,58420,56881,393833
100102,"F","西区",14490,0,6332,23958,0,7132,10929,62841
100103,"F","東区",0,15735,1035,8334,6250,6556,4500,42410
100106,"F","西区",13756,30579,8475,27016,11675,37573,1275,130349
100107,"M","東区",0,0,0,19368,8635,0,0,28003
100111,"F","東区",0,53646,93518,22101,46049,1980,0,217294
